gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min
-13,0,-21,-3
-39,-32,-42,-36
-49,-5,-59,-14
4,9,0,1
-41,6,-46,5
28,20,28,20
-69,-61,-73,-65
22,-51,17,-56
47,38,41,23
-16,-14,-24,-20
-22,-35,-31,-42
-76,-73,-83,-78
-40,-21,-41,-24
-24,-65,-26,-75
15,35,6,28
31,9,25,3
6,20,0,12
-68,-50,-74,-55
-34,-42,-35,-53
-23,-22,-30,-28
-30,-69,-38,-72
23,10,14,5
4,9,-3,0
-28,-29,-35,-33
-14,-27,-21,-32
-28,-12,-32,-17
-37,-29,-46,-35
65,24,65,18
-18,4,-23,-3
0,-48,-4,-58
19,22,14,18
20,4,15,-1
-34,-42,-40,-47
-71,-73,-80,-81
56,33,41,23
12,-10,6,-20
5,-65,4,-72
-43,-50,-49,-56
-44,0,-51,-4
-21,-32,-28,-35
-17,-39,-21,-49
4,22,-6,18
87,70,83,65
-26,-2,-32,-5
-48,-59,-55,-65
-31,-27,-34,-32
22,-51,13,-60
46,89,46,89
-34,-38,-42,-44
-37,1,-44,-6
-9,0,-15,-3
-72,-67,-79,-71
-54,-13,-58,-14
-49,-50,-54,-53
12,53,3,40
27,-42,27,-42
4,-48,-4,-52
-58,-52,-65,-61
82,54,75,43
-28,-14,-35,-20
-68,-77,-75,-81
-64,-55,-71,-61
-10,14,-11,13
19,22,19,22
-54,-65,-59,-72
4,6,-6,0
-40,-59,-44,-64
-83,-50,-83,-50
9,-7,7,-10
-70,-50,-74,-54
-61,-30,-63,-38
-11,-26,-15,-28
1,15,-10,9
-23,-40,-26,-44
-38,-27,-46,-32
-15,2,-23,-3
-47,-34,-54,-41
-58,-53,-61,-54
-64,-71,-66,-78
12,-12,6,-16
-5,14,-11,11
-37,-1,-40,-2
0,-48,-4,-52
8,22,1,12
-9,-19,-16,-22
-7,-85,-7,-85
-18,2,-23,-3
4,-72,4,-72
8,-50,0,-58
-62,-57,-69,-61
-10,-81,-14,-82
75,47,75,43
34,36,31,31
-6,0,-15,-3
7,-32,4,-33
-41,6,-51,-1
7,-55,0,-58
-57,-24,-63,-32
-39,-40,-47,-46
-70,-64,-77,-69
12,-70,4,-75
-15,-28,-23,-35
-5,-35,-7,-41
-23,-3,-27,-5
56,33,55,29
-50,-40,-57,-45
-8,-20,-14,-27
-73,-57,-82,-62
12,-14,6,-20
-67,-55,-71,-61
-4,47,-4,47
5,-45,-4,-52
-47,-35,-54,-45
-69,-59,-76,-65
37,7,27,3
-72,-71,-79,-76
-56,-5,-59,-7
-18,-65,-26,-69
18,9,9,2
0,22,-6,15
8,-50,4,-55
-2,-6,-4,-11
-43,-10,-50,-17
-17,-35,-23,-43
18,-75,12,-75
83,65,83,65
-32,-7,-38,-11
-43,-55,-49,-56
28,10,23,3
-21,-32,-22,-35
-31,-7,-36,-12
-67,-50,-74,-55
14,23,8,18
-8,-26,-15,-28
-9,6,-15,-2
16,-5,12,-10
-12,-74,-12,-74
-48,-50,-54,-53
-82,-50,-83,-57
-10,19,-20,13
-35,-29,-42,-33
-49,-34,-54,-35
1,15,-5,9
-69,-58,-73,-65
-46,-29,-51,-31
-68,-46,-72,-47
-15,-68,-18,-71
-17,-39,-26,-44
28,22,19,20
-44,-43,-48,-48
-64,-57,-71,-65
-18,-28,-23,-29
12,-52,0,-58
-37,-29,-46,-32
-23,-38,-27,-43
87,78,83,70
-33,-69,-38,-79
-68,-43,-72,-47
-12,-38,-17,-39
-64,-71,-68,-80
-72,-65,-79,-73
15,-18,12,-22
-28,-14,-35,-19
-2,-16,-9,-26
-6,6,-9,6
52,32,41,23
-68,-37,-69,-42
-2,-20,-3,-25
-34,-47,-35,-53
13,-52,0,-60
-86,-72,-88,-77
98,26,98,20
-54,-29,-63,-35
-37,1,-44,-2
-72,-69,-76,-74
-55,-61,-60,-65
-15,-28,-23,-32
20,0,12,-5
-30,-69,-36,-72
-25,-58,-28,-60
5,-48,-4,-52
-5,-35,-12,-38
-58,-52,-65,-57
-5,15,-11,11
-42,-45,-48,-48
-3,-65,-3,-65
-65,-77,-73,-81
-73,-57,-78,-61
38,18,33,13
-30,-71,-33,-79
-40,6,-46,-1
-26,-50,-27,-52
-67,-55,-71,-59
-35,-16,-41,-23
-65,-76,-76,-81
6,33,6,33
17,9,17,9
-65,-60,-73,-65
-24,-72,-24,-75
9,2,1,-2
-10,0,-18,-3
-34,-40,-39,-44
33,32,31,31
-32,15,-45,11
-58,-14,-58,-14
-71,-74,-76,-79
4,12,0,3
-70,-54,-78,-61
-51,-23,-52,-24
-18,12,-28,4
-72,-67,-78,-73
-14,-27,-23,-31
-8,-20,-14,-26
-65,-78,-68,-80
-43,1,-51,-4
-2,0,-9,-6
-36,-21,-41,-25
6,22,0,14
-30,9,-36,4
-19,2,-27,-5
-58,-54,-65,-61
-26,-69,-33,-72
-29,23,-31,16
-16,-14,-22,-19
-49,-13,-54,-14
-37,-27,-42,-32
-66,-81,-73,-85
-71,-74,-76,-81
16,-8,13,-10
-18,-40,-26,-49
-62,-30,-63,-34
-26,-69,-36,-72
-72,-72,-76,-76
-45,13,-45,13
-57,-29,-59,-31
72,16,72,16
-57,-45,-63,-54
-24,-42,-26,-44
3,53,3,53
-85,-66,-88,-77
-54,-35,-61,-43
-32,-1,-40,-2
18,-75,15,-82
-24,-20,-29,-22
-53,-85,-59,-90
-60,-57,-69,-61
-36,-25,-42,-32
66,98,66,98
-19,-28,-23,-35
-67,-55,-71,-60
14,-7,7,-14
-30,-69,-33,-72
-9,6,-13,3
-74,-69,-79,-73
-4,22,-6,15
74,-3,74,-3
60,95,59,92
-20,4,-23,0
27,-38,22,-42
83,78,83,74
19,-38,10,-38
20,0,12,-9
-10,15,-16,13
6,-38,2,-45
-68,-42,-72,-47
5,-48,-4,-58
28,10,23,7
-27,-24,-30,-26
8,22,3,14
33,-58,26,-58
-37,-35,-42,-44
-56,-39,-59,-45
-43,-1,-44,-10
56,33,52,27
-49,-29,-54,-35
-14,-19,-16,-20
16,-4,11,-14
-32,-1,-37,-7
-58,-52,-63,-57
81,15,81,15
-26,-22,-30,-26
31,7,27,3
-17,-39,-23,-42
-10,0,-15,-3
44,23,44,23
2,-25,-3,-30
-37,-32,-42,-38
20,9,14,0
-17,-35,-23,-40
-75,-57,-82,-61
12,-10,9,-14
-5,-35,-9,-38
55,38,47,33
-69,-62,-75,-68
4,6,-3,0
-64,-59,-66,-61
-34,-39,-42,-45
-69,-62,-73,-65
-47,-40,-53,-44
16,-5,7,-12
14,-48,12,-52
-9,6,-15,0
-63,-52,-68,-55
-19,-14,-24,-20
8,-50,4,-52
-34,-50,-35,-53
-5,15,-11,13
18,-1,12,-9
-34,-44,-42,-48
-40,1,-44,-4
20,5,14,-1
-31,-27,-37,-33
34,36,34,36
-3,0,-9,-4
-5,-32,-13,-38
-33,-61,-33,-61
-65,-52,-68,-55
-75,-24,-75,-24
-72,-67,-77,-70
-72,-65,-77,-70
18,-70,10,-75
-43,0,-48,-10
-33,-71,-38,-79
-79,-74,-82,-76
18,-1,12,-5
-12,-71,-15,-74
91,29,91,29
-47,-14,-51,-21
-48,-62,-52,-62
-68,15,-68,15
-28,-27,-34,-32
-46,-29,-50,-29
-14,-14,-24,-20
-53,-59,-60,-65
11,-7,7,-12
-83,-75,-88,-77
-28,-14,-32,-20
4,9,0,6
-85,-72,-88,-74
-32,-2,-37,-7
10,-70,4,-72
27,3,27,3
55,33,50,32
-34,-25,-40,-29
42,12,39,11
-5,19,-16,11
-67,-50,-74,-54
-15,-28,-23,-31
-72,-67,-77,-72
11,-38,6,-38
-53,-88,-57,-90
56,29,52,27
-80,-75,-86,-77
64,95,59,86
-30,-69,-33,-79
-24,-17,-29,-22
-36,-6,-38,-10
22,-38,19,-38
-7,-35,-9,-35
11,23,4,21
-29,-14,-33,-16
-39,-32,-42,-38
-30,-48,-30,-48
-2,-10,-5,-16
-65,-52,-68,-57
5,16,0,9
13,-10,9,-14
-40,-16,-41,-24
65,57,65,57
-28,12,-32,6
-32,-6,-37,-11
-51,-59,-55,-62
-53,-39,-59,-45
-34,-40,-38,-42
-37,1,-44,-4
-73,-54,-76,-61
11,23,4,17
-36,-70,-38,-75
-40,-55,-43,-59
-24,-19,-35,-20
56,29,49,27
-64,-58,-71,-61
-70,-64,-73,-68
1,4,-3,0
-48,-59,-55,-62
24,-60,21,-62
-66,-77,-75,-85
-34,-23,-38,-27
-69,-58,-73,-63
-20,2,-27,-5
-18,-43,-24,-49
-6,0,-10,-4
-76,-73,-82,-76
-34,-42,-40,-45
16,-4,12,-9
-72,-69,-78,-76
-42,-61,-44,-64
9,6,4,-2
-26,-20,-30,-26
-37,-27,-46,-32
-57,-24,-63,-34
16,-4,7,-9
-65,-60,-70,-65
-85,-72,-88,-76
-5,-35,-12,-40
-50,-35,-56,-45
-73,-54,-73,-57
14,-48,8,-52
-48,-56,-55,-62
12,-7,7,-14
-62,-46,-63,-47
-17,-35,-22,-40
-68,-57,-71,-61
-28,-29,-33,-32
-36,-6,-43,-10
-72,-72,-78,-76
-61,-52,-68,-55
-48,-48,-52,-53
-47,-40,-53,-41
10,33,6,30
-18,-68,-26,-75
52,32,44,23
-37,-29,-42,-35
0,-58,0,-58
-72,-67,-77,-71
98,26,98,26
-64,-59,-69,-61
7,-55,5,-55
-37,-36,-42,-40
54,85,54,85
1,12,-5,9
-15,0,-19,-3
-70,-64,-75,-68
-70,-47,-74,-54
-31,-6,-37,-12
-40,1,-51,-4
-73,-73,-79,-78
41,30,41,30
8,22,0,17
-3,0,-6,0
-68,-58,-73,-63
2,-28,-1,-30
-35,-19,-36,-23
-25,-58,-25,-58
-17,-39,-20,-40
-14,-27,-19,-29
-29,-14,-40,-19
8,-52,5,-55
-72,-67,-77,-74
-54,-35,-61,-41
-7,-35,-12,-38
-18,0,-23,-3
-33,-75,-37,-79
7,-50,0,-55
-13,0,-15,-3
-78,-28,-82,-30
-35,-19,-41,-25
-5,18,-6,11
-34,-44,-40,-47
-71,-77,-75,-81
-72,-71,-78,-76
4,22,0,20
-3,-25,-3,-25
-14,19,-20,18
-60,-59,-69,-61
-5,11,-9,6
-8,-22,-14,-27
-29,16,-29,16
-47,-47,-48,-48
4,9,0,3
16,-7,7,-12
25,10,23,7
-56,-38,-61,-41
-66,-85,-70,-85
-58,-54,-58,-54
7,-50,0,-58
-40,-16,-41,-23
65,24,65,24
-68,-57,-73,-60
-30,-47,-34,-48
1,1,-6,-4
-22,-32,-28,-35
-67,-52,-68,-55
5,-65,5,-65
-52,-42,-57,-45
20,0,18,-1
-60,-59,-66,-61
-40,-43,-46,-48
-39,-35,-42,-39
-36,-23,-40,-27
-75,-57,-78,-61
-43,-52,-49,-56
-32,5,-36,-2
72,18,65,16
31,9,27,3
15,-4,12,-5
-61,-52,-65,-57
52,32,49,27
-5,-38,-7,-41
-70,-54,-76,-61
-73,-73,-80,-76
-43,1,-48,-6
-35,-19,-36,-25
-53,-41,-57,-45
-64,-57,-69,-61
-72,-67,-79,-72
0,22,-4,20
-19,-31,-22,-35
-59,-69,-59,-69
-17,-39,-23,-43
-37,-32,-42,-36
-3,0,-6,-4
-82,-75,-88,-77
-34,-36,-42,-44
-36,-70,-38,-71
-19,-28,-23,-32
-73,-60,-76,-62
-28,-14,-32,-17
-17,-35,-23,-42
7,-30,-1,-33
18,5,14,3
-36,-21,-41,-24
-21,-28,-23,-32
-72,-67,-79,-70
-29,-14,-35,-19
34,39,34,36
-12,-38,-12,-38
50,32,49,29
-28,-30,-32,-32
-32,-1,-40,-7
37,9,27,3
-72,-69,-78,-74
-10,-1,-14,-3
-55,-65,-59,-69
-58,-46,-63,-53
98,32,97,26
-78,-73,-83,-77
-26,-65,-26,-65
-67,-26,-68,-30
-40,-29,-50,-29
-48,-50,-49,-56
-19,-28,-23,-28
-2,-4,-6,-6
2,-28,-1,-32
-44,-45,-48,-48
-72,-67,-77,-73
-21,-40,-26,-44
-52,-38,-61,-45
-31,-15,-35,-19
-47,-47,-49,-50
-9,-35,-17,-39
9,30,8,27
37,20,28,18
1,12,0,9
-14,-27,-18,-29
-24,-71,-30,-75
-68,-42,-71,-46
-58,-52,-63,-54
-44,-1,-44,-6
-19,-40,-23,-45
-52,-50,-58,-54
67,1,67,1
-72,-65,-79,-69
30,50,30,49
-14,-27,-23,-29
-71,-76,-76,-81
15,-4,7,-7
1,-25,-3,-30
-56,-41,-57,-45
-68,-59,-73,-65
4,6,4,6
-76,-73,-80,-76
-53,-42,-57,-45
31,42,31,40
-73,-51,-74,-57
-44,0,-51,-1
52,32,41,27
-54,-53,-61,-54
8,-45,4,-52
-81,-75,-86,-78
31,26,31,26
-43,-50,-52,-56
-35,-53,-35,-53
95,70,87,68
-67,-24,-68,-30
4,12,0,6
-50,-40,-53,-45
-40,1,-48,-4
-4,-52,-4,-52
-78,-73,-82,-76
-24,-65,-26,-72
-21,-28,-23,-28
-34,-23,-36,-27
-33,-70,-38,-79
-43,-53,-49,-56
-35,-29,-42,-35
61,61,60,61
-45,-40,-47,-47
-18,-68,-18,-68
-73,-65,-79,-69
-52,-41,-57,-45
12,40,12,40
-71,-57,-78,-61
-58,-38,-61,-41
87,12,86,11
-36,-23,-41,-27
-23,4,-23,2
-40,-55,-49,-59
-8,-22,-11,-26
50,38,47,29
-40,-43,-47,-48
-47,-17,-51,-21
99,38,99,38
-65,-52,-70,-58
37,18,37,18
-74,-67,-79,-71
-18,4,-23,0
7,-32,2,-33
-41,6,-46,-1
-75,-67,-79,-69
-53,-59,-55,-61
-44,-4,-44,-6
-54,-70,-57,-72
-17,-39,-23,-45
87,70,87,70
-23,53,-23,53
23,10,17,9
-3,-22,-9,-26
49,52,49,52
-81,-75,-83,-78
-68,-57,-73,-62
-72,-70,-76,-74
-31,-29,-37,-33
-18,-28,-23,-31
-43,1,-44,-1
-11,4,-15,0
-41,-38,-42,-39
-18,-49,-18,-49
-69,-63,-73,-68
18,-75,18,-75
55,52,54,49
-61,-24,-67,-24
-25,47,-25,47
11,-38,10,-38
-32,15,-38,11
31,9,28,7
-11,4,-13,3
12,-12,11,-14
65,18,65,18
-34,-38,-42,-42
55,38,47,29
-18,0,-19,-3
-68,-57,-71,-60
-51,-50,-54,-53
-72,-72,-76,-78
16,-4,13,-10
-43,1,-44,-4
-52,-53,-58,-54
-73,-57,-82,-60
-42,-43,-47,-48
-28,-32,-31,-32
12,-5,7,-10
-18,6,-18,6
-20,-40,-23,-43
24,-56,17,-62
-24,-17,-29,-20
-68,-42,-69,-46
12,-50,4,-52
-29,-12,-33,-16
-43,1,-44,-6
16,-8,14,-9
-30,-71,-30,-72
-52,-44,-53,-45
-75,-76,-76,-78
-11,-32,-14,-38
-68,-58,-71,-61
-18,-42,-21,-49
-32,-7,-36,-11
-60,-61,-60,-61
-39,-36,-42,-39
-33,5,-36,4
-32,-2,-32,-2
-78,-73,-80,-75
-37,1,-43,-2
-29,-9,-33,-14
-85,-75,-88,-77
-72,-68,-76,-71
-2,-10,-4,-11
-54,-71,-57,-72
16,-8,11,-14
-5,15,-5,11
-71,-57,-78,-62
34,14,33,13
-8,-22,-9,-26
-72,-72,-75,-74
-43,-6,-44,-10
-23,4,-23,0
-71,-59,-76,-62
42,18,37,11
-35,-32,-37,-33
-52,-40,-53,-45
-68,-30,-68,-30
5,-50,4,-51
-40,-16,-40,-16
-68,-57,-73,-61
-61,-24,-61,-24
-72,-72,-78,-74
-47,-20,-48,-21
-34,-42,-34,-42
-59,-38,-61,-39
-82,-57,-82,-57
-44,-46,-48,-48
-36,-23,-38,-27
-37,-39,-42,-40
-64,-59,-68,-61
-71,-54,-73,-59
-20,10,-20,10
16,-5,12,-9
55,33,49,29
97,32,97,32
-72,-67,-79,-69
-14,-27,-15,-28
-73,-74,-76,-78
-61,-52,-67,-55
-35,12,-35,12
11,23,8,22
95,43,94,39
-37,15,-45,12
-67,-55,-70,-60
10,33,6,31
-67,-24,-67,-26
-48,-48,-52,-52
-43,-10,-43,-10
-72,-70,-78,-73
-38,-27,-42,-32
-30,9,-30,6
-28,-32,-28,-32
-9,-32,-14,-35
-5,18,-11,13
-40,1,-44,-1
-79,-77,-83,-81
-46,-40,-50,-43
14,23,11,18
-31,-11,-33,-12
-72,-71,-76,-74
-23,-24,-30,-28
-52,-40,-57,-45
-9,-22,-9,-22
-14,-27,-21,-31
-48,-62,-51,-62
7,-33,7,-33
-37,-29,-42,-32
-38,-10,-43,-10
-52,-59,-55,-62
-48,-52,-49,-56
-49,-31,-54,-35
12,-52,5,-55
-30,-47,-34,-50
-32,-7,-36,-9
-3,-25,-11,-26
14,-48,14,-48
-32,-1,-37,-6
-54,-35,-54,-35
-71,-57,-76,-62
-47,-20,-51,-21
-64,-57,-70,-61
10,-65,5,-70
-20,18,-20,18
-9,-20,-14,-22
-15,-28,-23,-29
12,-70,10,-75
-62,-32,-62,-34
-21,-26,-27,-28
-77,-67,-82,-69
-30,11,-32,6
-46,-29,-46,-29
-24,-20,-30,-25
-28,16,-29,12
-63,-30,-68,-30
-81,-76,-84,-80
-52,-44,-57,-45
14,20,14,18
-19,-42,-21,-45
-19,-3,-19,-3
-40,-45,-42,-48
31,10,23,7
-58,-48,-60,-49
-32,-1,-37,-2
-57,-29,-62,-34
-79,-80,-83,-82
-51,-20,-52,-24
58,-16,58,-16
